
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip).?
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC). Contribute your offset by easily configuring AccurateRip on your CD drives - www.accuraterip.com?

Information: JLMS drives are listed as Lite-ON,?? HL-DT-ST as LG Electronics? &? Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
- 16X12 DVD DUAL	+91	10	100%
- 16X16 DVD DUAL	+91	5	100%
- 16X52X32X52COMBO	+738	7	100%
- 16X8 DVD DUAL	+91	13	100%
- 24X10X40 CD-RW	+97	5	100%
- 32X12X48 CD-RW	+97	1	100%
- 36X CD-ROM	+12	1	100%
- 40X CD-ROM	+12	2	100%
- 40X12X48 CD-RW	+97	6	100%
- 48X12X50 CD-RW	+97	5	100%
- 52X CD-ROM	+12	3	100%
- 52X24X52 CD-RW	+97	5	100%
- 52X32COMBO	+738	5	100%
- 52X32X52 CD-RW	+97	15	100%
- 54X CD-ROM	+12	3	100%
- 56X CD-ROM	+12	10	100%
- ATAPI CDROM 48X	+691	4	100%
- ATAPI CDROM 52X	+691	4	100%
- ATAPI CDROM.40X	+12	1	100%
- ATAPI CDROM.48X	+12	8	100%
- ATAPI CDROM.52X	+12	1	100%
- ATAPI DVDROM 16X	+12	14	100%
- ATAPI DVDROM-F	+704	4	100%
- ATAPI DVDROM	+704	1	100%
- BDROM-400	+618	1	100%
- BPN-KM52X16	+6	4	100%
- CB-5216A	+6	2	100%
- CD-R-RW RW7060S	+685	1	100%
- CD-R-RW RW7063A	+97	1	100%
- CD-R-RW RW7083A	+97	2	100%
- CD-R-RW RW7120A	+97	1	100%
- CD-R-RW RW8080A	+685	1	100%
- CD-S520B	+6	1	100%
- COMBO-52X16	+6	1	100%
- COMBO-52X16C	+6	14	100%
- CQ5252PRO	+97	3	100%
- CRW-5224A	+6	3	100%
- CRW-5232AS	-582	1	100%
- CRW9624	+685	1	100%
- DRIDE1648	+594	3	100%
- DRW-1608P2	+48	2	100%
- DRW-1608P2S	+48	5	100%
- DRW-1608P	+48	4	100%
- DVD RW DVR-MCC	+48	23	100%
- DVD+RW RW5120	+120	1	100%
- DVD+RW RW5125	+120	8	100%
- DVD+RW RW5240	+91	19	100%
- DVD+RW RW8160	+91	14	100%
- DVD+RW RW8165	+91	4	100%
- DVD-CDRW RW9120	+690	1	100%
- DVD-E616A	+6	12	100%
- DVD-E616P2	+738	3	100%
- DVDROM GO-D1600B	+12	1	100%
- DVDRW DRP160	+48	1	100%
- RW-201040	+97	1	100%
- RW-241040	+97	5	100%
- VOM-12E48X	+12	23	100%
16X DVD- - ROM	+738	4	100%
52XATAPI - CD-ROM	+108	1	100%
900 40X - CD-ROM DRIVE	+12	1	100%
Actima - CD-RW CRW4012A	+685	4	100%
ALERATEC - DVDRW 20A1H	+6	1	100%
AOpen - 12X DVD-ROM-AMH	+691	3	100%
AOpen - 12X DVD-ROM-ASH	+564	3	100%
AOpen - 12xDVD-ROM DRIVE	+691	1	100%
AOpen - 12xDVD-ROM-AMH	+691	1	100%
AOPEN - 16XDVD-ROM-AMH	+102	16	100%
AOPEN - 8X8 DVD Dual AAN	+48	7	100%
AOPEN - 8X8 DVD Dual APP	+48	2	100%
AOPEN - CD-RW CRW1232 A	+97	2	100%
AOPEN - CD-RW CRW1232PRO	+97	5	100%
AOPEN - CD-RW CRW1632	+97	1	100%
AOPEN - CD-RW CRW2040	+97	1	100%
AOPEN - CD-RW CRW2440	+97	30	100%
AOPEN - CD-RW CRW3248	+97	10	100%
AOPEN - CD-RW CRW4048	+97	16	100%
AOPEN - CD-RW CRW4850	+97	5	100%
AOPEN - CD-RW CRW4852	+97	9	100%
AOPEN - CD-RW CRW5224	+97	41	100%
AOPEN - CD-RW CRW5232	+97	32	100%
AOPEN - COM4824-AAH	+738	2	100%
AOPEN - COM4824	+6	5	100%
AOPEN - COM5232-AAH PRO	+738	29	100%
AOPEN - COM5232-AAH SL	+738	1	100%
AOPEN - COM5232-AAH	+738	10	100%
AOPEN - CRW1232	+97	4	100%
AOPEN - CRW5232-AAO PRO	+738	12	100%
AOPEN - CRW5232-AAO SL	+738	3	100%
AOPEN - CRW5232-AAO	+1336	1	100%
AOpen - DRW4410	+91	3	100%
AOPEN - DUW1608-12X	+91	6	100%
AOPEN - DUW1608-ARR	+91	77	100%
AOPEN - DUW1616-ARR	+91	38	100%
AOPEN - DVD RW ISU8424E	+1292	5	100%
AOPEN - DVD RW ISU8484G	+1292	2	100%
AOpen - DVD-9632	+691	3	100%
AOPEN - DVD1648-AAP PRO	+738	68	100%
AOPEN - DVD1648-AAP	+738	70	100%
AOPEN - DVD1648-LKY	+12	8	100%
AOPEN - DVRW2412PRO	+120	5	100%
ARCHOS - MiniCDRW XS8432	-436	1	100%
ARK - CD-DVD VD8 A	+48	1	100%
ARK - DVDROM VD800 A	+102	1	100%
ARTEC - BKM-52X16	+6	7	100%
ARTEC - WRA-WA48	+97	9	100%
ARTEC - WRR-4048	+97	4	100%
ARTEC - WRR-4848	+97	7	100%
ARTEC - WRR-52X	+97	11	100%
ARTEC - WRR-52Z	+97	25	100%
ARTEC - WSM-52X	+6	1	100%
ARTEC - WSM-YG52	+12	2	100%
ASUS - BC-06B1ST	+6	6	100%
ASUS - BC-08B1LT	+6	8	100%
ASUS - BC-08B1ST	+6	25	100%
ASUS - BC-1205PT	+667	11	100%
ASUS - BC-12B1LT	+702	7	100%
ASUS - BC-12B1ST	+702	18	100%
ASUS - BR-04B2T	+696	26	100%
ASUS - BW-12B1LT	+6	25	100%
ASUS - BW-12B1ST	+6	22	100%
ASUS - BW-12D1S-U	+667	3	100%
ASUS - CB-5216A	+6	39	100%
ASUS - CD-S400-A	+1194	5	100%
ASUS - CD-S480-A5	+1776	1	100%
ASUS - CD-S480-AH	+12	32	100%
ASUS - CD-S500-A	+1194	17	100%
ASUS - CD-S520-A4	+12	15	100%
ASUS - CD-S520-A5	+1130	1	100%
ASUS - CD-S520-A	+1194	29	100%
ASUS - CD-S520B2	+6	7	100%
ASUS - CD-S520B	+6	4	100%
ASUS - CRW-1610A	+12	11	100%
ASUS - CRW-2410A	+12	5	100%
ASUS - CRW-3212A	+12	2	100%
ASUS - CRW-4012A	+12	23	100%
ASUS - CRW-4816A	+12	19	100%
ASUS - CRW-4824A	+6	16	100%
ASUS - CRW-4824AH	+6	10	100%
ASUS - CRW-4832AS	+6	9	100%
ASUS - CRW-4832AX	+6	1	100%
ASUS - CRW-5224A	+6	93	100%
ASUS - CRW-5232A3	+6	24	100%
ASUS - CRW-5232A4	+6	17	100%
ASUS - CRW-5232AS	+6	95	100%
ASUS - CRW-5232AX	+6	33	100%
ASUS - DRW-0402P-D	+48	6	100%
ASUS - DRW-0804P	+48	22	100%
ASUS - DRW-1604P	+48	62	100%
ASUS - DRW-1608P2	+48	45	100%
ASUS - DRW-1608P2S	+48	98	100%
ASUS - DRW-1608P3S	+48	186	100%
ASUS - DRW-1608P	+48	101	100%
ASUS - DRW-1612BL	+6	103	100%
ASUS - DRW-1612BLT	+6	3	100%
ASUS - DRW-1814BL	+6	491	100%
ASUS - DRW-1814BLT	+6	717	100%
ASUS - DRW-2014L1	+6	129	100%
ASUS - DRW-2014L1T	+6	822	100%
ASUS - DRW-2014S1	+6	115	100%
ASUS - DRW-2014S1T	+6	150	100%
ASUS - DRW-20B1LT	+6	172	100%
ASUS - DRW-20B1S	+6	6	100%
ASUS - DRW-20B1ST	+6	41	100%
ASUS - DRW-22B1L	+6	11	100%
ASUS - DRW-22B1LT	+6	36	100%
ASUS - DRW-22B1S	+6	26	100%
ASUS - DRW-22B1ST	+6	17	100%
ASUS - DRW-22B2L b	+6	6	100%
ASUS - DRW-22B2L	+6	25	100%
ASUS - DRW-22B2S b	0	3	100%
ASUS - DRW-22B2S	+6	57	100%
ASUS - DRW-22B2ST	+6	36	100%
ASUS - DRW-22B3L	+6	5	100%
ASUS - DRW-22B3S	+6	21	100%
ASUS - DRW-22D1S	+102	5	100%
ASUS - DRW-24B1LT	+6	93	100%
ASUS - DRW-24B1ST a	+6	202	100%
ASUS - DRW-24B1ST c	+6	11	100%
ASUS - DRW-24B1ST	+6	347	100%
ASUS - DRW-24B3LT	+6	73	100%
ASUS - DRW-24B3ST	+6	154	100%
ASUS - DVD-E616A2	+6	91	100%
ASUS - DVD-E616A3	+6	84	100%
ASUS - DVD-E616A3T	+6	114	100%
ASUS - DVD-E616A	+6	122	100%
ASUS - DVD-E616P2	+738	87	100%
ASUS - DVD-E616P3	+738	69	100%
ASUS - DVD-E616P3H	+738	44	100%
ASUS - DVD-E616P	+102	139	100%
ASUS - DVD-E818A2	+6	4	100%
ASUS - DVD-E818A2T	+6	4	100%
ASUS - DVD-E818A3	+6	7	100%
ASUS - DVD-E818A3T	+6	39	100%
ASUS - DVD-E818A4	+6	15	100%
ASUS - DVD-E818A4T	+6	1	100%
ASUS - DVD-E818A6T	+6	19	100%
ASUS - DVD-E818A7T a	+6	1	100%
ASUS - DVD-E818A7T	+6	4	100%
ASUS - DVD-E818A	+6	27	100%
ASUS - DVD-E818AT	+6	47	100%
ASUS - DVD-ROM E608	+116	4	100%
ASUS - DVD-ROM E612	+594	8	100%
ASUS - DVD-ROM E616	+594	75	100%
ASUS - DVD-RW DRW-0402P	+48	2	100%
ASUS - SBC-04D1S-U	+667	1	100%
ASUS - SBC-06D1S-U	+102	20	100%
ASUS - SBC-06D2X-U	+48	1	100%
ASUS - SBR-02E1S-U	+102	2	100%
ASUS - SBW-06C1S-U	+48	7	100%
ASUS - SBW-06C2X-U	+48	1	100%
ASUS - SCB-2408	-582	1	100%
ASUS - SCB-2424V	-582	4	100%
ASUS - SDR-08B1-U	+6	4	100%
ASUS - SDRW-0804P-D	+48	4	50%
ASUS - SDRW-0806T-D	+704	3	100%
ASUS - SDRW-08D1S-U	[Purged]		
ASUS - SDRW-08D2S-U	[Purged]		
ASUS DVD - RAM GH75N	+667	1	100%
ATAPI - BD B DH12B2SH	+6	1	100%
ATAPI - BD B DH2B1S	+618	2	100%
ATAPI - BD B DH4B1S	+618	15	100%
ATAPI - BD B DH6E2L	+6	19	100%
ATAPI - BD B DH6E2S	+6	6	100%
ATAPI - BD E DH12E3SH	+702	1	100%
ATAPI - BD O DH4O1S	+6	148	100%
ATAPI - BD O DH4O3S	+696	20	100%
ATAPI - CD N DH48N1P	+6	5	100%
ATAPI - CD N DH48N1S	+6	2	100%
ATAPI - CD N DH52N2P	+6	2	100%
ATAPI - CD R DH52R1P	+6	1	100%
ATAPI - CD R DH52R2P	+6	11	100%
ATAPI - CD R DH52RYP	+6	3	100%
ATAPI - CD-R-RW 12X8X32	+692	3	100%
ATAPI - CD-R-RW 32X10	+1508	10	100%
ATAPI - CD-R-RW 40X12	+1473	7	100%
ATAPI - CD-R-RW 48X16	+1473	8	100%
ATAPI - CD-R-RW 4X2X32	+740	1	100%
ATAPI - CD-R-RW 4X4X32	+740	1	100%
ATAPI - CD-R-RW 6X4X32	+740	4	100%
ATAPI - CD-R-RW 8X4X32	+692	1	100%
ATAPI - CD-R-RW CRW6206A	+675	2	100%
ATAPI - CD-ROM 44X	+106	3	100%
ATAPI - CD-ROM 50X	+106	6	100%
ATAPI - CD-ROM 52X	+106	6	100%
ATAPI - CD-ROM 52XMax	+12	3	100%
ATAPI - CD-ROM DRIVE-40X	+686	9	100%
ATAPI - CD-ROM MAX 58X	+12	1	100%
ATAPI - CD-ROM	+680	1	100%
ATAPI - CD-RW 16-12-40X	+733	2	100%
ATAPI - CD-RW 24X10X40	+12	2	100%
ATAPI - CD-RW 32X10X40	+12	4	100%
ATAPI - CD-RW 40-12-48X	+688	1	100%
ATAPI - CD-RW 40X12	+12	4	100%
ATAPI - CD-RW 48-16-48X	+733	2	100%
ATAPI - CD-RW 48X16	+12	16	100%
ATAPI - CD-RW 52X24X	+738	12	100%
ATAPI - CD-RW 52X32	+6	1	100%
ATAPI - CD-RW 52X32X	+738	4	100%
ATAPI - CD-RW 52XMax	+688	26	100%
ATAPI - CD-RW 52XMaxx	+688	2	100%
ATAPI - CD-RW CW4801	+688	3	100%
ATAPI - CD-RW CW5205	+688	4	100%
ATAPI - CD-RW52XMAX	+6	9	100%
ATAPI - CDRW 5232X	+738	2	100%
ATAPI - CDRW 52X32	+738	40	100%
ATAPI - COMBO 52X32	+6	1	100%
ATAPI - COMBO24XMAX	+6	1	100%
ATAPI - COMBO48XMAX	+6	10	100%
ATAPI - COMBO52XMAX	+6	9	100%
ATAPI - DVD A DH-3H20A	+6	4	100%
ATAPI - DVD A DH16A1L	+6	169	100%
ATAPI - DVD A DH16A1P	+6	35	100%
ATAPI - DVD A DH16A1S	+6	36	100%
ATAPI - DVD A DH16A3L	+6	91	100%
ATAPI - DVD A DH16A3P	+6	1	100%
ATAPI - DVD A DH16A3S	+6	27	100%
ATAPI - DVD A DH16A6L-C	+6	39	100%
ATAPI - DVD A DH16A6L	+6	49	100%
ATAPI - DVD A DH16A6S	+6	133	100%
ATAPI - DVD A DH16AAL	+6	23	100%
ATAPI - DVD A DH16AAS	+6	12	100%
ATAPI - DVD A DH16AASH	+6	141	100%
ATAPI - DVD A DH16ABS	+6	2	100%
ATAPI - DVD A DH16ABSH	+6	52	100%
ATAPI - DVD A DH16AYH	+6	29	100%
ATAPI - DVD A DH18A1P	+6	15	100%
ATAPI - DVD A DH18A3P	+6	1	100%
ATAPI - DVD A DH20A1H	+6	3	100%
ATAPI - DVD A DH20A1L	+6	26	100%
ATAPI - DVD A DH20A1P	+6	30	100%
ATAPI - DVD A DH20A1S	+6	72	100%
ATAPI - DVD A DH20A3H	+6	93	100%
ATAPI - DVD A DH20A3L	+6	24	100%
ATAPI - DVD A DH20A3P	+6	133	100%
ATAPI - DVD A DH20A3S	+6	57	100%
ATAPI - DVD A DH20A4H	+6	196	100%
ATAPI - DVD A DH20A4P	+6	574	100%
ATAPI - DVD A DH20A6L	+6	3	100%
ATAPI - DVD A DH20A6LE	+6	2	100%
ATAPI - DVD A DH20A6S	+6	11	100%
ATAPI - DVD A DH22A8S	+6	1	100%
ATAPI - DVD A DH22A9P	+6	8	100%
ATAPI - DVD A DH22AWP	+6	2	100%
ATAPI - DVD A DH24AAS	+6	20	100%
ATAPI - DVD A DH24ABS	+6	14	100%
ATAPI - DVD A DH24AYL	+48	7	100%
ATAPI - DVD A DH24AYS	+48	8	100%
ATAPI - DVD A LH-1H18A	+6	2	100%
ATAPI - DVD A DH16ABS	+6	4	100%
ATAPI - DVD C DH48C1P	+6	3	100%
ATAPI - DVD C DH48C2S	+6	15	100%
ATAPI - DVD C DH48CYS	+6	5	100%
ATAPI - DVD C DH52C1P	+6	1	100%
ATAPI - DVD C DH52C2P	+6	31	100%
ATAPI - DVD C DH52C2S	+6	11	100%
ATAPI - DVD C DH52C2S	+6	1	100%
ATAPI - DVD D DH16D1P	+6	5	100%
ATAPI - DVD D DH16D1S	+6	10	100%
ATAPI - DVD D DH16D2P	+6	96	100%
ATAPI - DVD D DH16D2S	+6	99	100%
ATAPI - DVD D DH16D3P	+6	22	100%
ATAPI - DVD D DH16D3S	+6	50	100%
ATAPI - DVD D DH16D5S	+6	8	100%
ATAPI - DVD D DH16DYP	+6	7	100%
ATAPI - DVD D DH16DYS	+6	8	100%
ATAPI - DVD DC 16X8X5	+102	47	100%
ATAPI - DVD DC 8X16X8X	+102	3	100%
ATAPI - DVD DD 2X16X4X16	+618	119	100%
ATAPI - DVD DD 8X16X8X16	+618	9	100%
ATAPI - DVD DUAL 16X4X12	+618	7	100%
ATAPI - DVD DUAL 4XMax	+689	12	100%
ATAPI - DVD DUAL 8X4X12	+1292	66	100%
ATAPI - DVD DW 8X16X8X16	+618	48	100%
ATAPI - DVD LS 8X16X8X16	+30	10	100%
ATAPI - DVD RW 12XMax	+691	1	100%
ATAPI - DVD RW 16XMax	+691	1	100%
ATAPI - DVD RW 4XMax	+688	2	100%
ATAPI - DVD RW 8XMax	+689	22	100%
ATAPI - DVD RW	+618	6	100%
ATAPI - DVD W DH16W1P	+6	53	100%
ATAPI - DVD W DH16W1S	+6	8	100%
ATAPI - DVD+--R-RW8XMAX	+12	8	100%
ATAPI - DVD+RW 4X4X12	+1292	13	100%
ATAPI - DVD+RW 8X4X12	+1292	17	100%
